date,11010100,11010200,11010400,11010500,11010800,out
Jan/2015,81399732.45,3359100.88,917074.43,1575662.69,1594618.80,0
Feb/2015,95026423.09,3995185.32,875555.14,3561308.18,2141146.28,0
Mar/2015,97457415.68,3997887.46,1668867.26,2789951.31,2158314.05,1
Apr/2015,102024027.54,4422207.07,4837865.31,1902033.76,2265565.51,0
May/2015,102852320.89,3922065.85,1466740.00,2095979.62,2123746.80,1
Jun/2015,127029814.36,4347104.00,1713994.81,1330684.69,2202239.72,1
Jul/2015,109179712.47,4593016.66,2600917.45,6183849.37,2143820.58,0
Aug/2015,103736407.84,4266796.14,4164340.35,2278846.90,2196193.91,0
Sep/2015,113981691.70,5054001.89,5331863.73,1381479.65,2189734.68,0
Oct/2015,124039272.35,5023859.51,6170311.02,1239567.64,2137292.72,1
Nov/2015,119558460.43,4381461.90,4853713.11,2359969.91,2345927.03,1
Dec/2015,150110242.85,9104980.09,7785098.45,2470730.90,2697052.92,0
Jan/2016,114793661.09,6460231.05,2852589.25,1169844.93,2846879.97,1
Feb/2016,137794707.58,7441529.09,3360204.23,6077781.53,3608108.18,0
Mar/2016,155057399.97,9119800.44,2944532.27,1819834.41,1869706.20,1
Apr/2016,156768036.34,9239932.69,5556896.58,4112700.89,2806733.08,0
May/2016,156577317.45,9187306.42,4589946.12,1352828.79,2743684.23,1
Jun/2016,186954693.70,9777760.83,3086493.62,3492703.29,2758980.71,0
Jul/2016,175003951.48,11595899.24,3638099.78,12923007.45,2657872.29,1
Aug/2016,156370830.00,10533761.66,7990328.06,1994621.86,2795501.84,1
Sep/2016,173875689.45,11810090.32,6411069.80,1381124.01,2729241.65,0
Oct/2016,177200096.77,13650664.63,6838137.67,3308681.72,2670029.38,1
Nov/2016,178683098.08,11251390.54,4429777.45,1228244.76,2554670.91,1
Dec/2016,190888452.80,13380367.54,6669587.02,3272860.66,2581417.39,0
Jan/2017,184854804.05,10271162.71,6917998.02,2418289.65,2681619.03,0
Feb/2017,223062121.51,12096873.42,1887251.01,9276213.00,2650689.42,0
Mar/2017,241063975.12,13247177.68,4845921.94,5115460.82,2145063.37,1
Apr/2017,245476256.93,13008007.90,4488043.95,4137262.69,2385763.39,1
May/2017,242024461.05,13545461.61,5362925.98,2741191.38,2340035.53,1
Jun/2017,310923198.72,13429969.04,12066860.22,2119554.33,2357937.81,0
Jul/2017,238938175.35,15554296.55,4648285.22,11982156.79,2300620.83,0
Aug/2017,238268916.51,15459584.71,8165347.89,2719925.90,2309336.10,1
Sep/2017,265094496.81,17064309.99,10266329.52,2217318.02,2229695.53,1
Oct/2017,268374931.05,15711223.52,7778778.53,4738749.10,2173004.44,0
Nov/2017,258354084.65,16047906.52,6461837.56,2233237.18,2239233.85,1
Dec/2017,323715163.73,21311690.51,11722654.74,2355620.38,2117655.26,0
Jan/2018,251733401.61,13121964.92,4374578.27,3688231.41,2226926.52,1
Feb/2018,283929005.50,15100814.14,4277747.81,11948233.49,2187465.72,0
Mar/2018,294756349.30,15376558.36,5576514.83,3317640.13,2028523.37,1
Apr/2018,296158523.09,15796009.96,6531654.87,5823128.73,2166584.86,0
May/2018,306898729.03,16078261.71,6022799.37,2172349.48,2138516.04,0
Jun/2018,387302489.87,16796036.88,5032986.78,2009809.76,2179717.78,1
Jul/2018,304923277.92,16641563.22,6930613.99,8293810.71,2228584.45,1
Aug/2018,295973912.20,18153832.31,10484912.04,3494741.83,2225316.14,0
Sep/2018,310429175.17,16146039.04,10443003.88,3410760.98,2533793.29,0
Oct/2018,323040181.06,15786170.47,13861139.84,6121640.91,2093502.02,0
Nov/2018,350649515.54,16221430.03,9851892.53,3945917.13,2233265.42,1
Dec/2018,393462103.26,20790585.92,15238434.33,4903035.28,2296904.51,1
Jan/2019,316530249.79,17078144.96,4867531.12,5242971.75,2301748.37,1
Feb/2019,344485950.97,20805407.03,4640175.51,15927398.95,2312186.20,0
Mar/2019,348967116.76,20675669.74,7593570.16,3803691.39,2139274.76,0
Apr/2019,375447499.21,22170908.27,9195931.39,5138783.86,2358740.94,1
May/2019,381306863.27,22443924.80,8222140.30,2501529.60,2247178.53,1
Jun/2019,429462040.12,23421902.02,7028248.64,2495447.53,1594944.89,0
Jul/2019,381799892.92,22333576.63,7712611.11,13717444.23,2246912.68,0
Aug/2019,352968884.71,22547408.03,10389480.98,3355102.85,2296808.84,0
Sep/2019,373692016.11,21671068.43,14733968.27,2502357.58,2317148.56,1
Oct/2019,371530044.27,23009639.61,11617602.57,4457784.93,2248903.82,0
Nov/2019,372101672.25,22311522.57,8879804.71,2606720.21,2395390.99,1
Dec/2019,442755727.40,31240857.82,17140202.99,3323348.33,2190298.93,1
Jan/2020,364053431.51,25432454.55,5513183.83,5396140.65,1986729.27,1
Feb/2020,401480866.63,27591857.50,4945544.01,15935962.65,2856353.31,0
Mar/2020,392738010.67,28076775.34,11988162.84,3470321.90,4873161.15,0
Apr/2020,344608340.83,27833196.18,7862204.50,1814503.07,312234.50,0
May/2020,339729751.26,28990073.61,5260988.34,1982495.51,1587124.97,1
Jun/2020,452764416.05,30364224.35,7852864.56,3110499.97,2222402.60,0
Jul/2020,384126822.95,35784185.84,7842180.14,4886491.27,2142215.21,1
Aug/2020,395553431.89,28333701.69,14904981.54,2178254.40,2014461.27,0
Sep/2020,451979122.35,27512319.53,28178320.06,4906383.72,1945343.42,1
Oct/2020,428744301.38,25977672.13,14324335.00,3744054.18,1919198.54,0
Nov/2020,426158336.04,28279292.20,11775950.82,2256559.27,1815912.27,1
